Index_,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,MCI,Division,Hood_ID,Neighbourhood,ObjectId,Lat,Long,Postal Code,FSA
17939,2018-04-01T00:01:00.000Z,2018-05-26T17:06:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D32,50,Newtonbrook East (50),16747,43.7938118,-79.419014,M2M 1M8,M2M
18995,2018-08-30T00:08:00.000Z,2018-08-31T00:08:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D32,36,Newtonbrook West (36),17913,43.7937088,-79.4331512,M2M 1P2,M2M
19045,2018-08-30T00:08:00.000Z,2018-08-31T00:08:00.000Z,Apartment,2120,200,B&E,Break and Enter,D32,36,Newtonbrook West (36),17676,43.7937088,-79.4331512,M2M 1P2,M2M
86076,2018-08-24T16:45:00.000Z,2018-08-24T16:49:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D32,50,Newtonbrook East (50),79321,43.7961922,-79.4160614,M2M 2T6,M2M
92571,2018-12-15T12:00:00.000Z,2018-12-15T22:10:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D32,50,Newtonbrook East (50),85159,43.7889824,-79.4178238,M2M 3V7,M2M
33177,2018-12-25T00:15:00.000Z,2018-12-30T14:30:00.000Z,Apartment,2120,200,B&E,Break and Enter,D32,50,Newtonbrook East (50),30542,43.7889824,-79.4178238,M2M 3V7,M2M
20233,2018-10-12T13:00:00.000Z,2018-10-12T22:53:00.000Z,Apartment,2120,200,B&E,Break and Enter,D32,36,Newtonbrook West (36),18732,43.7863655,-79.4208374,M2M 4M3,M2M
153095,2018-11-19T18:38:00.000Z,2018-12-16T01:35:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D32,51,Willowdale East (51),141372,43.760334,-79.4093781,M2N 0G5,M2N
92473,2018-02-08T04:30:00.000Z,2018-02-08T10:40:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D32,38,Lansing-Westgate (38),85821,43.7581902,-79.4259338,M2N 1N5,M2N
31345,2018-07-05T12:30:00.000Z,2018-07-05T19:15:00.000Z,Apartment,2120,200,B&E,Break and Enter,D32,37,Willowdale West (37),28564,43.7758179,-79.4220123,M2N 2P4,M2N
144237,2018-05-01T06:00:00.000Z,2018-05-02T15:00:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D32,51,Willowdale East (51),133352,43.7586098,-79.4040375,M2N 2T5,M2N
144238,2018-05-01T06:00:00.000Z,2018-05-02T15:00:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D32,51,Willowdale East (51),133353,43.7586098,-79.4040375,M2N 2T5,M2N
144239,2018-05-01T06:00:00.000Z,2018-05-02T15:00:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D32,51,Willowdale East (51),133354,43.7586098,-79.4040375,M2N 2T5,M2N
151544,2018-01-01T12:00:00.000Z,2018-10-09T17:38:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D32,51,Willowdale East (51),139155,43.7713699,-79.4115753,M2N 3Y2,M2N
19801,2018-07-13T16:15:00.000Z,2018-07-13T16:18:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D32,51,Willowdale East (51),18828,43.7643013,-79.4116364,M2N 5N6,M2N
94346,2018-05-18T12:30:00.000Z,2018-05-18T12:48:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D32,51,Willowdale East (51),87784,43.7565041,-79.4065704,M2N 7E2,M2N
152852,2018-05-01T00:00:00.000Z,2018-11-12T19:25:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D32,51,Willowdale East (51),141928,43.7565041,-79.4065704,M2N 7E2,M2N
20039,2018-11-30T23:25:00.000Z,2018-11-30T23:29:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D32,37,Willowdale West (37),18980,43.7784004,-79.4172974,M2N 7H2,M2N
17763,2018-05-17T14:48:00.000Z,2018-05-17T23:37:00.000Z,Apartment,2120,200,B&E,Break and Enter,D32,40,St.Andrew-Windfields (40),16607,43.753273,-79.4046936,M2P 2A2,M2P
92184,2018-08-22T22:45:00.000Z,2018-10-06T22:45:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D32,36,Newtonbrook West (36),85571,43.7741089,-79.44104,M2R 1W3,M2R
21714,2018-07-28T18:00:00.000Z,2018-07-29T13:18:00.000Z,Apartment,2120,200,B&E,Break and Enter,D32,35,Westminster-Branson (35),19703,43.7890816,-79.4465332,M2R 1Z5,M2R
81912,2018-03-20T06:31:00.000Z,2018-03-20T06:31:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D32,36,Newtonbrook West (36),75382,43.7910843,-79.4430466,M2R 2X7,M2R
144783,2018-12-01T01:30:00.000Z,2018-12-01T02:30:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D32,35,Westminster-Branson (35),133561,43.7833405,-79.4483261,M2R 2Z5,M2R
16814,2018-04-19T08:50:00.000Z,2018-04-19T12:48:00.000Z,Apartment,2120,200,B&E,Break and Enter,D32,35,Westminster-Branson (35),15110,43.7795982,-79.4524231,M2R 3K2,M2R
151900,2018-10-30T14:34:00.000Z,2018-10-30T14:34:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D32,35,Westminster-Branson (35),140604,43.7735176,-79.4453049,M2R 3K6,M2R
17869,2018-02-11T10:25:00.000Z,2018-02-11T10:30:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D32,36,Newtonbrook West (36),16403,43.7924118,-79.445755,M2R 3W9,M2R
159102,2018-02-25T10:30:00.000Z,2018-02-25T10:31:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D32,36,Newtonbrook West (36),146665,43.7924118,-79.445755,M2R 3W9,M2R
