,Index_,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,MCI,Division,Hood_ID,Neighbourhood,ObjectId,Lat,Long,Postal Code
16700,177973,2018-07-30T21:16:00.000Z,2018-07-31T00:51:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D52,75,Church-Yonge Corridor (75),164203,43.6649399,-79.3845978,
16701,177983,2018-08-03T22:40:00.000Z,2018-08-03T22:40:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D52,77,Waterfront Communities-The Island (77),164213,43.6473236,-79.3928604,
16702,177984,2018-08-04T11:38:00.000Z,2018-08-04T11:38:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D55,69,Blake-Jones (69),164214,43.672123,-79.3420486,
16703,177987,2018-08-06T06:00:00.000Z,2018-08-06T14:43:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D23,1,West Humber-Clairville (1),164217,43.7106895,-79.6113205,
16704,177989,2018-08-04T12:00:00.000Z,2018-08-04T15:09:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D41,119,Wexford/Maryvale (119),164219,43.7461014,-79.2912674,
16705,177990,2018-08-06T21:30:00.000Z,2018-08-07T15:39:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D11,90,Junction Area (90),164220,43.6608353,-79.4765549,
16706,177992,2018-08-03T21:00:00.000Z,2018-08-04T09:47:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D31,21,Humber Summit (21),164222,43.7522583,-79.5646896,
16707,177995,2018-08-06T03:00:00.000Z,2018-08-06T14:12:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D43,137,Woburn (137),164225,43.7658272,-79.244545,
16708,177267,2018-06-12T18:00:00.000Z,2018-06-12T19:12:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D23,1,West Humber-Clairville (1),164230,43.7181282,-79.5990524,
16709,177268,2018-06-13T11:00:00.000Z,2018-06-13T14:12:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D51,71,Cabbagetown-South St.James Town (71),164234,43.6631927,-79.3730621,
16710,177479,2018-12-30T00:18:00.000Z,2018-12-31T15:01:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D31,21,Humber Summit (21),164242,43.7506523,-79.5490723,
16711,177026,2018-08-23T21:30:00.000Z,2018-08-24T00:26:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D55,65,Greenwood-Coxwell (65),164246,43.6684723,-79.3195724,
16712,177270,2018-06-01T08:25:00.000Z,2018-06-01T09:05:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D31,26,Downsview-Roding-CFB (26),164253,43.7209167,-79.5086365,
16713,177028,2018-12-07T09:30:00.000Z,2018-12-07T11:41:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D51,75,Church-Yonge Corridor (75),164264,43.6495857,-79.3759613,
16714,177272,2018-06-15T21:00:00.000Z,2018-06-16T09:54:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D42,131,Rouge (131),164267,43.8062973,-79.1871567,
16715,177483,2018-12-28T14:20:00.000Z,2018-12-28T14:52:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D51,75,Church-Yonge Corridor (75),164272,43.6562653,-79.3783188,
16716,177485,2018-08-28T03:30:00.000Z,2018-08-28T18:13:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D42,128,Agincourt South-Malvern West (128),164274,43.7781525,-79.2814713,
16717,177486,2018-08-28T11:00:00.000Z,2018-08-29T18:04:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D42,130,Milliken (130),164281,43.8281021,-79.2618866,
16718,177490,2018-11-23T06:15:00.000Z,2018-11-23T06:20:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D23,6,Kingsview Village-The Westway (6),164283,43.694252,-79.5586472,
16719,177275,2018-06-18T17:00:00.000Z,2018-06-19T08:38:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D13,94,Wychwood (94),164284,43.6784439,-79.4232407,
16720,177494,2018-11-14T19:05:00.000Z,2018-11-14T19:10:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D31,25,Glenfield-Jane Heights (25),164288,43.7393913,-79.5132217,
16721,177276,2018-06-12T09:00:00.000Z,2018-06-12T12:57:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D51,72,Regent Park (72),164289,43.6572227,-79.3637543,
16722,176951,2018-06-17T22:00:00.000Z,2018-06-18T11:29:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D12,112,Beechborough-Greenbrook (112),164302,43.6959,-79.4757156,
16723,176970,2018-07-10T23:45:00.000Z,2018-07-12T23:21:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D32,36,Newtonbrook West (36),164320,43.7859192,-79.4460526,
16724,176974,2018-07-16T13:30:00.000Z,2018-07-16T14:35:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D33,42,Banbury-Don Mills (42),164324,43.7482185,-79.3463516,
16725,176976,2018-07-14T00:30:00.000Z,2018-07-17T09:14:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D42,132,Malvern (132),164326,43.7972794,-79.2148972,
16726,176977,2018-07-16T12:00:00.000Z,2018-07-18T19:17:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D22,20,Alderwood (20),164327,43.605442,-79.5285492,
16727,176979,2018-07-18T20:30:00.000Z,2018-07-19T07:45:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D53,56,Leaside-Bennington (56),164329,43.705883,-79.3669434,
16728,176981,2018-07-18T20:00:00.000Z,2018-07-19T09:31:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D33,119,Wexford/Maryvale (119),164331,43.7421455,-79.3097916,
16729,176983,2018-07-20T17:18:00.000Z,2018-07-20T17:18:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D31,27,York University Heights (27),164333,43.774353,-79.4998016,
16730,176984,2018-07-22T23:30:00.000Z,2018-07-23T08:04:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D55,62,East End-Danforth (62),164334,43.6836586,-79.3015213,
16731,176986,2018-07-21T01:00:00.000Z,2018-07-21T01:00:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D13,93,Dovercourt-Wallace Emerson-Junction (93),164336,43.6692963,-79.4449844,
